id,time,time7c,intimacy,conflict,confc,confcb,confcw,relqual
1,0,-1.92857142857143,4.78,0,-.2213203,-.114177442857143,-.107142857142857,1
1,1,-1.78571428571429,2.07,0,-.2213203,-.114177442857143,-.107142857142857,1
1,2,-1.64285714285714,3.8,0,-.2213203,-.114177442857143,-.107142857142857,1
1,3,-1.5,3.69,0,-.2213203,-.114177442857143,-.107142857142857,1
1,4,-1.35714285714286,4.65,0,-.2213203,-.114177442857143,-.107142857142857,1
1,5,-1.21428571428571,3.61,0,-.2213203,-.114177442857143,-.107142857142857,1
1,6,-1.07142857142857,3.78,0,-.2213203,-.114177442857143,-.107142857142857,1
1,7,-.928571428571429,3.68,0,-.2213203,-.114177442857143,-.107142857142857,1
1,8,-.785714285714286,6.47,0,-.2213203,-.114177442857143,-.107142857142857,1
1,9,-.642857142857143,6.19,0,-.2213203,-.114177442857143,-.107142857142857,1
1,10,-.5,4.16,1,.7786797,-.114177442857143,.892857142857143,1
1,11,-.357142857142857,1.5,0,-.2213203,-.114177442857143,-.107142857142857,1
1,12,-.214285714285714,6.34,0,-.2213203,-.114177442857143,-.107142857142857,1
1,13,-.0714285714285714,7.12,0,-.2213203,-.114177442857143,-.107142857142857,1
1,14,.0714285714285714,5.43,0,-.2213203,-.114177442857143,-.107142857142857,1
1,15,.214285714285714,5.44,1,.7786797,-.114177442857143,.892857142857143,1
1,16,.357142857142857,5.98,0,-.2213203,-.114177442857143,-.107142857142857,1
1,17,.5,7.87,0,-.2213203,-.114177442857143,-.107142857142857,1
1,18,.642857142857143,5.95,0,-.2213203,-.114177442857143,-.107142857142857,1
1,19,.785714285714286,3.77,0,-.2213203,-.114177442857143,-.107142857142857,1
1,20,.928571428571429,8.5,0,-.2213203,-.114177442857143,-.107142857142857,1
1,21,1.07142857142857,6.78,0,-.2213203,-.114177442857143,-.107142857142857,1
1,22,1.21428571428571,5.66,0,-.2213203,-.114177442857143,-.107142857142857,1
1,23,1.35714285714286,3.5,0,-.2213203,-.114177442857143,-.107142857142857,1
1,24,1.5,7.58,0,-.2213203,-.114177442857143,-.107142857142857,1
1,25,1.64285714285714,5.18,1,.7786797,-.114177442857143,.892857142857143,1
1,26,1.78571428571429,6.16,0,-.2213203,-.114177442857143,-.107142857142857,1
1,27,1.92857142857143,2.68,0,-.2213203,-.114177442857143,-.107142857142857,1
2,0,-1.92857142857143,7.64,0,-.2213203,-.114177442857143,-.107142857142857,1
2,1,-1.78571428571429,8.12,0,-.2213203,-.114177442857143,-.107142857142857,1
2,2,-1.64285714285714,5.59,0,-.2213203,-.114177442857143,-.107142857142857,1
2,3,-1.5,8.3,0,-.2213203,-.114177442857143,-.107142857142857,1
2,4,-1.35714285714286,3.69,0,-.2213203,-.114177442857143,-.107142857142857,1
2,5,-1.21428571428571,8.9,0,-.2213203,-.114177442857143,-.107142857142857,1
2,6,-1.07142857142857,6.12,0,-.2213203,-.114177442857143,-.107142857142857,1
2,7,-.928571428571429,7.75,0,-.2213203,-.114177442857143,-.107142857142857,1
2,8,-.785714285714286,4.27,0,-.2213203,-.114177442857143,-.107142857142857,1
